faculty_id,faculty_FirstName,faculty_LastName,faculty_designation,department_ID,course_ID
1,Ted,Podbury,Professor,333,474
2,Loleta,Buessen,Professor,180,78
3,Beverlee,Cona,Professor,400,332
4,Asa,Wallman,Professor,481,279
5,Sibeal,Chipchase,Professor,469,490
6,Linet,Aucourte,Professor,265,422
7,Conrade,Whitland,Professor,59,456
8,Karyn,Haggeth,Professor,83,108
9,Trenton,Nunnerley,Professor,58,89
10,Keriann,Teresse,Professor,17,452
11,Creight,Scrannage,Professor,124,151
12,Debbie,MacFall,Professor,309,446
13,Trip,Aldwich,Professor,437,384
14,Candice,Bourdis,Professor,471,255
15,Findlay,Stobbart,Professor,469,477
16,Jefferey,Izachik,Professor,300,257
17,Bartholomeo,Bagworth,Professor,470,196
18,Niki,Mithon,Professor,466,377
19,Inness,McConaghy,Professor,176,236
20,Morten,Morales,Professor,270,409
21,Aylmar,Baldacco,Professor,162,304
22,Tootsie,Guion,Professor,499,498
23,Debby,Carnson,Professor,428,4
24,Yehudi,Faires,Professor,357,56
25,Loralyn,Lavens,Professor,164,122
26,Neville,Bercher,Professor,319,174
27,Horatio,Bleackly,Professor,178,359
28,Ali,Wurst,Professor,497,351
29,Caz,Beed,Professor,26,173
30,Correy,Loxston,Professor,467,202
31,Kacey,Macari,Professor,23,393
32,Orella,Brettel,Professor,341,70
33,Hillary,Corneck,Professor,206,401
34,Colin,Aldus,Professor,484,100
35,Anastassia,Pailin,Professor,56,154
36,Pooh,Spellacey,Professor,308,484
37,Nari,Kennicott,Professor,99,4
38,Venita,Kennion,Professor,36,386
39,Mikel,Hasselby,Professor,243,332
40,Woody,Varlow,Professor,180,117
41,Reamonn,Kohrs,Professor,184,304
42,Mufinella,O'Keefe,Professor,405,151
43,Daffie,Pascho,Professor,424,137
44,Tommy,Kettow,Professor,473,62
45,Eveline,Perutto,Professor,393,62
46,Zane,Miranda,Professor,174,447
47,Hettie,Hebard,Professor,163,472
48,Nomi,Darnbrook,Professor,192,68
49,Alexa,Jeckells,Professor,19,169
50,Mohammed,Daudray,Professor,237,267
51,Guglielmo,Golland,Professor,2,284
52,Annora,Ashborn,Professor,158,434
53,Priscella,Troutbeck,Professor,394,2
54,Jenni,Maytom,Professor,418,365
55,Francisco,Pimerick,Professor,63,225
56,Kyla,Boltwood,Professor,300,275
57,Tripp,Leggin,Professor,194,57
58,Vinnie,Kluge,Professor,355,334
59,Ermengarde,McGuiness,Professor,172,484
60,Mignon,Mervyn,Professor,189,148
61,Theodoric,Yousef,Professor,267,176
62,Nikkie,Guilfoyle,Professor,387,37
63,Doti,Klus,Professor,236,226
64,Charlotte,Wyldbore,Professor,283,407
65,Petronella,Durrett,Professor,324,24
66,Reuben,Fairlaw,Professor,94,25
67,Carmella,Pelling,Professor,303,400
68,Gayler,Felmingham,Professor,246,401
69,Cord,Goundsy,Professor,333,431
70,Jilli,Maddyson,Professor,334,499
71,Conrado,Pimmocke,Professor,500,101
72,Lek,Warwick,Professor,403,456
73,Nerta,Gregson,Professor,451,481
74,Kittie,"De Domenicis",Professor,294,201
75,Andras,Spadeck,Professor,130,232
76,Brittney,Plumbley,Professor,250,413
77,Egan,Abson,Professor,484,93
78,Leanor,Durran,Professor,205,314
79,Nichols,Loveland,Professor,86,363
80,Valera,Willerson,Professor,469,258
81,Carine,Lattimer,Professor,199,362
82,Ottilie,Nicely,Professor,85,223
83,Britt,Sheardown,Professor,426,157
84,Alberto,Challis,Professor,34,3
85,Idette,Lafaye,Professor,359,86
86,Starlin,Tomasino,Professor,400,62
87,Charleen,Timlett,Professor,258,493
88,Clarabelle,Plail,Professor,338,296
89,Kelley,Dollard,Professor,500,326
90,Benjy,Smurfit,Professor,23,327
91,Paige,Izakoff,Professor,496,93
